2609	1280	720	5.65685424949238	
2610	1280	717	3	
2611	1280	719	2	
2612	1280	720	1	
2613	1280	720	0	
2614	1280	720	0	
2615	1281	719	1.4142135623731	
2616	1289	720	8.06225774829855	
2617	1295	720	6	
2618	1311	720	16	
2619	1280	720	31	
2620	1291	715	12.0830459735946	
2621	1285	720	7.81024967590665	
2622	1283	720	2	
2623	1280	720	3	
2624	1281	721	1.4142135623731	
2625	1280	720	1.4142135623731	
2626	1277	724	5	
2627	1280	720	5	
2628	1280	720	0	
2629	1280	720	0	
2630	1280	720	0	
2631	1280	720	0	
2632	1279	720	1	
2633	1280	721	1.4142135623731	
2634	1280	727	6	
2635	1279	739	12.0415945787923	
2636	1280	720	19.0262975904404	
2637	1292	743	25.9422435421457	
2638	1302	732	14.8660687473185	
2639	1280	720	25.0599281722833	
2640	1280	720	0	
2641	1280	720	0	
2642	1280	720	0	
2643	1280	720	0	
2644	1280	720	0	
2645	1274	722	6.32455532033676	
2646	1249	724	25.0798724079689	
2647	1280	720	31.2569992161756	
2648	1280	720	0	
2649	1278	722	2.82842712474619	
2650	1278	723	1	
2651	1279	720	3.16227766016838	
2652	1270	715	10.295630140987	
2653	1279	719	9.8488578017961	
2654	1279	720	1	
2655	1280	720	1	
2656	1280	720	0	
2657	1280	720	0	
2658	1280	720	0	
2659	1280	720	0	
2660	1280	720	0	
2661	1281	720	1	
2662	1280	720	1	
2663	1280	720	0	
2664	1280	720	0	
2665	1280	720	0	
2666	1280	720	0	
2667	1280	720	0	
2668	1280	720	0	
2669	1280	720	0	
2670	1280	720	0	
2671	1280	720	0	
2672	1280	720	0	
2673	1280	720	0	
2674	1280	720	0	
2675	1280	720	0	
2676	1280	720	0	
2677	1280	720	0	
2678	1280	720	0	
2679	1280	720	0	
2680	1280	720	0	
2681	1280	720	0	
2682	1280	720	0	
2683	1280	720	0	
2684	1280	720	0	
2685	1280	720	0	
2686	1280	720	0	
2687	1280	720	0	
2688	1280	720	0	
2689	1280	720	0	
2690	1280	720	0	
2691	1280	720	0	
2692	1282	717	3.60555127546399	
2693	1281	710	7.07106781186548	
2694	1277	710	4	
2695	1280	720	10.4403065089106	
2696	1278	716	4.47213595499958	
2697	1278	707	9	
2698	1279	706	1.4142135623731	
2699	1279	708	2	
2700	1280	718	10.0498756211209	
2701	1280	719	1	
2702	1283	717	3.60555127546399	
2703	1284	717	1	
2704	1280	720	5	
2705	1285	719	5.09901951359278	
2706	1282	717	3.60555127546399	
2707	1280	720	3.60555127546399	
2708	1280	720	0	
2709	1280	720	0	
2710	1280	720	0	
2711	1280	720	0	
2712	1280	720	0	
2713	1280	720	0	
2714	1279	720	1	
2715	1280	720	1	
2716	1280	720	0	
2717	1280	720	0	
2718	1280	720	0	
2719	1280	720	0	
2720	1280	720	0	
2721	1280	720	0	
2722	1280	720	0	
2723	1280	720	0	
2724	1277	730	10.4403065089106	
2725	1280	720	10.4403065089106	
2726	1282	731	11.1803398874989	
2727	1280	720	11.1803398874989	
2728	1279	727	7.07106781186548	
2729	1280	721	6.08276253029822	
2730	1280	720	1	
2731	1280	720	0	
2732	1280	720	0	
2733	1280	721	1	
2734	1282	723	2.82842712474619	
2735	1281	721	2.23606797749979	
2736	1281	721	0	
2737	1280	720	1.4142135623731	
2738	1280	720	0	
2739	1280	720	0	
2740	1279	718	2.23606797749979	
2741	1280	720	2.23606797749979	
2742	1279	720	1	
2743	1280	719	1.4142135623731	
2744	1279	718	1.4142135623731	
2745	1280	720	2.23606797749979	
2746	1280	718	2	
2747	1280	717	1	
2748	1280	716	1	
2749	1280	720	4	
2750	1279	718	2.23606797749979	
2751	1280	720	2.23606797749979	
2752	1277	710	10.4403065089106	
2753	1280	720	10.4403065089106	
2754	1280	720	0	
2755	1280	720	0	
2756	1280	720	0	
2757	1280	720	0	
2758	1280	720	0	
2759	1280	720	0	
2760	1280	720	0	
2761	1280	720	0	
2762	1280	720	0	
2763	1287	719	7.07106781186548	
2764	1292	719	5	
2765	1311	718	19.0262975904404	
2766	1280	720	31.0644491340181	
2767	1280	720	0	
2768	1280	720	0	
2769	1280	720	0	
2770	1280	720	0	
2771	1280	720	0	
2772	1339	728	59.5399025864168	
2773	1280	720	59.5399025864168	
2774	1292	720	12	
2775	1281	721	11.0453610171873	
2776	1281	720	1	
2777	1291	718	10.1980390271856	
2778	1288	716	3.60555127546399	
2779	1282	717	6.08276253029822	
2780	1282	719	2	
2781	1283	718	1.4142135623731	
2782	1288	710	9.4339811320566	
2783	1280	720	12.8062484748657	
2784	1286	718	6.32455532033676	
2785	1285	720	2.23606797749979	
2786	1280	720	5	
2787	1280	720	0	
2788	1280	722	2	
2789	1280	720	2	
2790	1280	720	0	
2791	1280	721	1	
2792	1280	721	0	
2793	1280	721	0	
2794	1280	720	1	
2795	1278	720	2	
2796	1273	717	5.8309518948453	
2797	1274	717	1	
2798	1277	719	3.60555127546399	
2799	1276	720	1.4142135623731	
2800	1280	719	4.12310562561766	
2801	1280	720	1	
2802	1277	720	3	
2803	1272	725	7.07106781186548	
2804	1273	725	1	
2805	1280	720	8.60232526704263	
2806	1270	726	11.6619037896906	
2807	1278	720	10	
2808	1276	721	2.23606797749979	
2809	1277	720	1.4142135623731	
2810	1273	719	4.12310562561766	
2811	1278	720	5.09901951359278	
2812	1277	721	1.4142135623731	
2813	1278	721	1	
2814	1279	721	1	
2815	1278	721	1	
2816	1279	722	1.4142135623731	
2817	1274	729	8.60232526704263	
2818	1279	723	7.81024967590665	
2819	1280	720	3.16227766016838	
2820	1280	720	0	
2821	1280	720	0	
2822	1280	719	1	
2823	1285	715	6.40312423743285	
2824	1280	720	7.07106781186548	
2825	1282	722	2.82842712474619	
2826	1280	720	2.82842712474619	
2827	1283	723	4.24264068711928	
2828	1280	720	4.24264068711928	
2829	1280	720	0	
2830	1280	721	1	
2831	1280	720	1	
2832	1280	720	0	
2833	1280	720	0	
2834	1280	720	0	
2835	1278	720	2	
2836	1280	720	2	
2837	1280	720	0	
2838	1278	720	2	
2839	1267	724	11.7046999107196	
2840	1254	729	13.9283882771841	
2841	1263	721	12.0415945787923	
2842	1274	718	11.4017542509914	
2843	1269	718	5	
2844	1271	720	2.82842712474619	
2845	1278	720	7	
2846	1277	720	1	
2847	1279	720	2	
2848	1278	721	1.4142135623731	
2849	1275	714	7.61577310586391	
2850	1272	717	4.24264068711928	
2851	1291	715	19.1049731745428	
2852	1284	718	7.61577310586391	
2853	1280	720	4.47213595499958	
2854	1280	720	0	
2855	1280	720	0	
2856	1280	721	1	
2857	1290	722	10.0498756211209	
2858	1299	717	10.295630140987	
2859	1285	720	14.3178210632764	
2860	1280	720	5	
2861	1281	720	1	
2862	1280	720	1	
2863	1280	720	0	
2864	1281	716	4.12310562561766	
2865	1282	718	2.23606797749979	
2866	1288	713	7.81024967590665	
2867	1280	719	10	
2868	1280	720	1	
2869	1280	720	0	
2870	1280	720	0	
2871	1279	722	2.23606797749979	
2872	1280	720	2.23606797749979	
2873	1265	722	15.1327459504216	
2874	1314	718	49.1629942131274	
2875	1280	720	34.0587727318528	
2876	1282	731	11.1803398874989	
2877	1279	728	4.24264068711928	
2878	1281	721	7.28010988928052	
2879	1280	720	1.4142135623731	
2880	1280	720	0	
2881	1280	720	0	
2882	1281	719	1.4142135623731	
2883	1280	719	1	
2884	1280	719	0	
2885	1281	717	2.23606797749979	
2886	1280	719	2.23606797749979	
2887	1280	720	1	
2888	1286	729	10.816653826392	
2889	1290	722	8.06225774829855	
2890	1280	720	10.1980390271856	
